
Image Name                     PID Session Name        Session#    Mem Usage
ONENOTEM.EXE                 20808 Console                    1      1,968 K
jusched.exe                  20836 Console                    1      3,732 K
WidgetService.exe             3228 Console                    1      6,248 K
msedgewebview2.exe           20936 Console                    1     10,172 K
msedgewebview2.exe           17992 Console                    1      2,812 K
msedgewebview2.exe             692 Console                    1      2,504 K
msedgewebview2.exe            3040 Console                    1         24 K
msedgewebview2.exe            1980 Console                    1        588 K
OmenCommandCenterBackgrou     5948 Console                    1   1,70,516 K
BridgeCommunication.exe      11648 Console                    1      8,192 K
ShellExperienceHost.exe      19628 Console                    1     44,108 K
RuntimeBroker.exe            17028 Console                    1     13,012 K
svchost.exe                  20328 Services                   0      5,384 K
svchost.exe                   5884 Services                   0      9,624 K
svchost.exe                  16300 Console                    1     18,084 K
svchost.exe                  15584 Services                   0      5,860 K
HPEnhancedLighting.Bg.exe    16356 Console                    1      8,948 K
svchost.exe                   7124 Console                    1     15,728 K
jucheck.exe                   2776 Console                    1      5,428 K
SystemSettings.exe           15732 Console                    1      1,460 K
ApplicationFrameHost.exe     12952 Console                    1     33,976 K
svchost.exe                  17308 Services                   0      2,256 K
svchost.exe                  21292 Console                    1      6,124 K
svchost.exe                   4360 Services                   0      3,416 K
svchost.exe                   8080 Services                   0      7,560 K
RuntimeBroker.exe            16652 Console                    1     35,508 K
dllhost.exe                   2120 Console                    1      5,824 K
svchost.exe                  24240 Services                   0     18,228 K
msedgewebview2.exe           12032 Console                    1        524 K
svchost.exe                  21668 Services                   0      5,512 K
IntelGraphicsSoftware.Ser     3708 Services                   0     13,912 K
PresentMonService.exe        25008 Services                   0      3,068 K
conhost.exe                  22128 Services                   0      2,764 K
LockApp.exe                  22396 Console                    1     80,216 K
msedgewebview2.exe           11608 Console                    1     46,840 K
FileCoAuth.exe               19256 Console                    1     25,804 K
dllhost.exe                  22444 Console                    1      7,912 K
dllhost.exe                  25076 Console                    1      5,324 K
msedgewebview2.exe           21800 Console                    1      6,580 K
chrome.exe                   25764 Console                    1   2,74,700 K
chrome.exe                   15336 Console                    1      8,788 K
chrome.exe                   19832 Console                    1   1,17,612 K
chrome.exe                   22388 Console                    1     70,916 K
chrome.exe                   13172 Console                    1     20,784 K
chrome.exe                   19552 Console                    1     57,448 K
chrome.exe                    9700 Console                    1   8,14,308 K
cmd.exe                      18580 Console                    1      4,448 K
cmd.exe                      22952 Console                    1      4,708 K
conhost.exe                  18748 Console                    1      8,992 K
conhost.exe                   5028 Console                    1      9,000 K
browserhost.exe              12396 Console                    1     17,668 K
mc-extn-browserhost.exe      16204 Console                    1     12,200 K
chrome.exe                   25784 Console                    1     55,076 K
chrome.exe                   25912 Console                    1     58,000 K
chrome.exe                   19608 Console                    1   1,94,400 K
backgroundTaskHost.exe       24300 Console                    1      6,656 K
RuntimeBroker.exe            20120 Console                    1     31,248 K
chrome.exe                   25700 Console                    1     62,940 K
chrome.exe                   25264 Console                    1     22,348 K
chrome.exe                   21396 Console                    1     47,092 K
msedge.exe                   13536 Console                    1   1,34,928 K
msedge.exe                   26116 Console                    1      8,796 K
msedge.exe                   25972 Console                    1     43,332 K
msedge.exe                    4684 Console                    1     41,244 K
msedge.exe                    5996 Console                    1     17,320 K
msedge.exe                   13876 Console                    1     64,716 K
msedge.exe                   21956 Console                    1     23,664 K
chrome.exe                   22852 Console                    1   2,24,680 K
Code.exe                     26388 Console                    1   1,73,180 K
Code.exe                     17508 Console                    1     31,088 K
Code.exe                     26216 Console                    1   2,00,236 K
Code.exe                     12280 Console                    1     48,104 K
Code.exe                     23536 Console                    1   3,19,284 K
Code.exe                     20252 Console                    1     95,952 K
Code.exe                     11116 Console                    1     90,984 K
Code.exe                     23724 Console                    1   1,82,460 K
pet.exe                      17416 Console                    1      6,684 K
conhost.exe                  20528 Console                    1      6,488 K
Code.exe                     13572 Console                    1   1,15,248 K
conhost.exe                  20476 Console                    1      7,516 K
Code.exe                     20452 Console                    1   5,00,068 K
