*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 9396, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'OmenInstallMonitor.exe', 'vms': 29.9375}
{'pid': 9420, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'OverlayHelper.exe', 'vms': 31.76171875}
{'pid': 9644, 'username': None, 'name': 'svchost.exe', 'vms': 1.62890625}
{'pid': 9700, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'chrome.exe', 'vms': 749.50390625}
{'pid': 9736, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'mc-fw-host.exe', 'vms': 11.2109375}
{'pid': 9764, 'username': None, 'name': 'svchost.exe', 'vms': 6.2265625}
{'pid': 9900, 'username': None, 'name': 'svchost.exe', 'vms': 5.2578125}
{'pid': 9916, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'sihost.exe', 'vms': 8.75}
{'pid': 9948, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 2.34375}
{'pid': 9960, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 12.01171875}
{'pid': 9980, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 2.07421875}
{'pid': 10076, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 2.1875}
{'pid': 10176, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'SystemOptimizer.exe', 'vms': 42.85546875}
{'pid': 10224, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'svchost.exe', 'vms': 7.94921875}
{'pid': 10696, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'WindowsTerminal.exe', 'vms': 182.25}
{'pid': 10708, 'username': None, 'name': 'AggregatorHost.exe', 'vms': 3.7421875}
{'pid': 10948, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'explorer.exe', 'vms': 546.2734375}
{'pid': 11052, 'username': None, 'name': 'WmiApSrv.exe', 'vms': 2.29296875}
{'pid': 11068, 'username': None, 'name': 'svchost.exe', 'vms': 10.61328125}
{'pid': 11116, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 79.6328125}
{'pid': 11176, 'username': None, 'name': 'svchost.exe', 'vms': 6.39453125}
{'pid': 11360, 'username': None, 'name': 'svchost.exe', 'vms': 2.38671875}
{'pid': 11564, 'username': None, 'name': 'svchost.exe', 'vms': 2.70703125}
{'pid': 11608, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 138.95703125}
{'pid': 11648, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'BridgeCommunication.exe', 'vms': 6.88671875}
